product_code,default_billing_dimension,billing_dimensions,usage_unit,usage_page_name,dimension,dimension_name,netsuite_name,revenue_accounting_name,salesforce_name,salesforce_display_name,website_name,datadog_product,product_name,usage_page_category,salesforce_family,salesforce_product_category,salesforce_product_family,website_product_category,website_product_nav_category,rda_product_category,rda_product_family,revenue_accounting_category,fpa_product_family,fpa_public_reporting_group
NETFLOW-MONITORING-15DAY,netflow_monitoring,netflow_monitoring,netflow record,NetFlow Records,netflow_record,NetFlow Records,Committed NetFlow Monitoring - 15 Days (Bundle of 1M),On-Demand NetFlow Monitoring - 15 Days (Bundle of 1M)|Committed NetFlow Monitoring - 15 Days (Bundle of 1M),NetFlow Monitoring - 15 Days (Bundle of 1M),NetFlow Monitoring (15 Day Retention Period),NetFlow Monitoring (15-day retention),network,Network,network,Network,Network,Infrastructure,Network Device Monitoring,Infrastructure,,,Invoicing - Monitoring,NPM,NPM
NETFLOW-MONITORING-60DAY,netflow_monitoring,netflow_monitoring,netflow record,NetFlow Records,netflow_record,NetFlow Records,Committed NetFlow Monitoring - 60 Days (Bundle of 1M),Committed NetFlow Monitoring - 60 Days (Bundle of 1M),NetFlow Monitoring - 60 Days (Bundle of 1M),NetFlow Monitoring (60 Day Retention Period),NetFlow Monitoring (60-day retention),network,Network,network,Network,Network,Infrastructure,Network Device Monitoring,Infrastructure,,,Invoicing - Monitoring,NPM,NPM
NETFLOW-MONITORING-90DAY,netflow_monitoring,netflow_monitoring,netflow record,NetFlow Records,netflow_record,NetFlow Records,Committed NetFlow Monitoring - 90 Days (Bundle of 1M),Committed NetFlow Monitoring - 90 Days (Bundle of 1M),NetFlow Monitoring - 90 Days (Bundle of 1M),NetFlow Monitoring (90 Day Retention Period),NetFlow Monitoring (90-day retention),network,Network,network,Network,Network,Infrastructure,Network Device Monitoring,Infrastructure,,,Invoicing - Monitoring,NPM,NPM
SNMP-DEVICE,network_device,network_device,network device,Network Devices,network_device,Network Devices,Committed Network Devices,Committed Network Devices,Network Devices,SNMP Device Monitoring,Network Device Monitoring,network,Network,network,Network,Network,Infrastructure,Network Device Monitoring,Infrastructure,network,infrastructure,Invoicing - Monitoring,NPM,NPM
HOSTS-NETWORK,npm_host,npm_host,network host,Network Hosts,network_host,Network Hosts,Committed Network Hosts,Committed Network Hosts,Network Hosts,Network Hosts,Network Performance Monitoring,network,Network,network,Network,Network,Infrastructure,Network Monitoring,Infrastructure,network,infrastructure,Invoicing - Monitoring,NPM,NPM
OBS-PIPES,observability_pipeline,observability_pipeline,ingested data,Observability Pipelines,observability_pipeline,Observability Pipelines,Committed Observability Pipelines,On-Demand Observability Pipelines|Committed Observability Pipelines,Observability Pipelines,Observability Pipelines,Observability Pipelines,observability_pipelines,Observability Pipelines,observability-pipeline,Pipelines,Observability Pipelines,Logs,Observability Pipelines,Logs,observability pipelines,logs,Invoicing - Logs,Pipelines,Pipelines
OBS-PIPES-VCPU,observability_pipeline_vcpu,observability_pipeline_vcpu,vCPU,Observability Pipelines Workers (vCPUs),observability_pipeline_vcpu,Observability Pipelines Workers (vCPUs),,,Observability Pipelines vCPU,Observability Pipelines vCPU,Observability Pipelines per CPU,observability_pipelines,Observability Pipelines,observability-pipeline,Pipelines,Observability Pipelines,Logs,Observability Pipelines,Logs,observability pipelines,logs,,Pipelines,Pipelines
OBS-PIPES-PLUS,observability_pipelines_plus,observability_pipelines_plus,,,observability_pipelines_plus,unconfigured,,,,,,observability_pipelines,Observability Pipelines,,,,,,,,,,,
ONL-ARC,online_archive,online_archive,log event,Online Archived Logs,online_archive,Online Archived Logs,Committed Online Archives,Committed Online Archives,Online Archives,Online Archives,,online_archive,Online Archive,log-management,Logs,Logs,Logs,,,logs,logs,Invoicing - Logs,Indexed Logs,Logs
CI-APP-TEST,synthetics_app_testing,synthetics_app_testing,slot,Parallel Testing Slots,parallel_testing_slots,Parallel Testing Slots,Committed Parallel Testing,Committed Parallel Testing,Parallel Testing,Parallel Testing,Parallel Testing,synthetics,Synthetics,synthetics,Synthetics,Synthetics,APM,Continuous Testing,Software Delivery,synthetics,apm,Invoicing - Synthetics,Synthetics,Synthetics
PREM-SUP,premier_support,premier_support,org,Premier Support,premier_support,Premier Support,Premier Support,Premier Support|On-Demand Premier Support,Premier Support,Premier Support *,,premier_support,Premier Support,support-services,Premier Support,Support Services,Support Services,,,support services,support services,Invoicing - Support,Premier Support,Infrastructure
PRODUCT-ANALYTICS,product_analytics,product_analytics,,,product_analytics,unconfigured,,,Product Analytics,Product Analytics,,unconfigured,unconfigured,,Product Analytics,,,,,,,,,
PROF-CONT,prof_container,prof_container,profiled container,Profiled Containers,profiled_container,Profiled Containers,Committed Profiled Containers,Committed Profiled Containers,Profiled Containers,Profiled Containers,Continuous Profiler - Containers (Profiled Container Hour),continuous_profiler,Continuous Profiler,profiling,Container,Profiler,APM,Continuous Profiler,Applications,profiler,apm,Invoicing - Continuous Profiler,Prof,Prof
FARGATE-PROF,fargate_container_profiler,fargate_container_profiler,profiled task,Profiled Fargate Tasks,profiled_fargate_task,Profiled Fargate Tasks,Committed Fargate Tasks (Continuous Profiler),Committed Fargate Tasks (Continuous Profiler),Fargate Tasks (Continuous Profiler),Fargate Tasks (Continuous Profiler),Fargate (Continuous Profiler),continuous_profiler,Continuous Profiler,profiling,Fargate Tasks,Profiler,APM,Continuous Profiler,Applications,profiler,apm,Invoicing - Monitoring,Prof,Prof
PROF-HOSTS,prof_host,prof_host,profiled host,Profiled Hosts,profiled_host,Profiled Hosts,Committed Profiled Hosts,Committed Profiled Hosts,Profiled Hosts,Profiled Hosts,Continuous Profiler,continuous_profiler,Continuous Profiler,profiling,Continuous Profiling,Profiler,APM,Continuous Profiler,Applications,profiler,apm,Invoicing - Continuous Profiler,Prof,Prof
PUBLISHED-APP,published_app,published_app,,,published_app,unconfigured,,,App Builder Application,App Builder Application,App Builder,unconfigured,unconfigured,,Apps,Workflows,Workflows,App Builder,Platform Capabilities,,,,,
PUBLISHED-APP-EXEC,published_app_query_execution,published_app_query_execution,,,published_app_query_execution,unconfigured,,,App Builder Query Execution,App Builder Query Execution,,unconfigured,unconfigured,,Apps,,,,,,,,,
RUM-10K,rum,rum,session,RUM Total Sessions,rum,RUM Total Sessions,Committed Real User Monitoring Sessions (Bundle of 10K),Committed Real User Monitoring Sessions (Bundle of 10K),Legacy - Real User Monitoring Sessions (Bundle of 10K),Real User Monitoring Sessions,,rum,RUM,rum,RUM,Real User Monitoring,APM,,,real user monitoring,apm,Invoicing - RUM,RUM,RUM
RUM-INGESTED,rum_ingested,rum_ingested,,,rum_ingested,unconfigured,,,RUM Ingestion (Bundle of 1K),RUM Ingestion,,unconfigured,unconfigured,,RUM,Real User Monitoring,APM,,,real user monitoring,apm,,RUM,RUM
RUM-SESSION-REPLAY,rum_replay,rum_replay,replay session,RUM with Session Replay Sessions,rum_session_replay_sessions,RUM with Session Replay Sessions,Committed RUM Premium (Bundle of 1K),Committed RUM Premium (Bundle of 1K),RUM Session Replay (Bundle of 1K),RUM Session Replay,RUM & Session Replay,rum,RUM,rum,RUM,Real User Monitoring,APM,Real User Monitoring,Digital Experience,real user monitoring,apm,Invoicing - RUM,RUM,RUM
RUM-BROWSER-MOBILE,rum_lite,rum_lite,user session,RUM Sessions,rum_sessions,RUM Sessions,Committed RUM Browser or Mobile Sessions (Bundle of 1K),Committed RUM Browser or Mobile Sessions (Bundle of 1K),RUM Browser or Mobile Sessions (Bundle of 1K),RUM Browser or Mobile Sessions,Real User Monitoring,rum,RUM,rum,RUM,Real User Monitoring,APM,Real User Monitoring,Digital Experience,real user monitoring,apm,Invoicing - RUM,RUM,RUM
RUM-UNIT,rum_units,rum_units,unit,RUM Units,rum_units,RUM Units,,,Real User Monitoring Units (Bundle of 1K),Real User Monitoring Units,,rum,RUM,rum,RUM,Real User Monitoring,APM,,,real user monitoring,apm,,RUM,RUM
SIEM-INDEXED,siem_indexed,siem_indexed,analyzed and indexed log,Security Analyzed and Indexed Logs,security_indexed_logs,Security Analyzed and Indexed Logs,,Committed Cloud SIEM Indexed (15 months)|On-Demand Cloud SIEM Indexed (15 months),Cloud SIEM Indexed (15 months),Cloud SIEM Indexed (15 months),,cloud_siem,Cloud SIEM,security,Security,Cloud SIEM,Security,,,cloud siem,security,Invoicing - Security,SIEM,SIEM
SDS,sensitive_data_scanner,sensitive_data_scanner,scanned data,Sensitive Data Scanner,sensitive_data_scanner,Sensitive Data Scanner,Committed Sensitive Data Scanner,Committed Sensitive Data Scanner,Sensitive Data Scanner,Sensitive Data Scanner,Sensitive Data Scanner,sensitive_data_scanner,Sensitive Data Scanner,sensitive-data-scanner,Logs,Logs,Logs,Sensitive Data Scanner,Logs,logs,logs,Invoicing - Logs,SDS,SDS
SERVERLESS-APPS,serverless_apps,serverless_apps,active app instance,Serverless App Instances,serverless_app_instance,Serverless App Instances,Committed Serverless Workloads (Apps),Committed Serverless Workloads (Apps),Serverless Workloads (Apps),Serverless Workloads (Apps),Container Apps Monitoring,serverless,Serverless,serverless,Serverless,Serverless,Infrastructure,Serverless Monitoring,Infrastructure,serverless,infrastructure,Invoicing - Monitoring,Serverless,Infrastructure
LAMBDA-PRO,lambda_function,lambda_function,function,Serverless Functions,serverless_function,Serverless Functions,Committed Serverless,,Legacy - Lambda Functions,Lambda Functions,,serverless,Serverless,serverless,Serverless,Serverless,Infrastructure,,,,,,Serverless,Infrastructure
SERVERLESS-PRO,lambda_function,lambda_function,function,Serverless Functions,serverless_function,Serverless Functions,Committed Serverless Functions,Committed Serverless Functions,Legacy - Serverless Functions,Serverless Functions,,serverless,Serverless,serverless,Serverless,Infrastructure,Infrastructure,,,serverless,infrastructure,Invoicing - Monitoring,Serverless,Infrastructure
SERVERLESS-INV,serverless_invocation,serverless_invocation,invocation,Serverless Invocations,serverless_invocation,Serverless Invocations,Committed Serverless Invocations,Committed Serverless Invocations,Legacy - Serverless Invocations,Serverless Invocations,,serverless,Serverless,serverless,Serverless,Serverless,Infrastructure,,,serverless,infrastructure,Invoicing - Monitoring,Serverless,Infrastructure
SERVERLESS-APM,serverless_apm,serverless_apm,traced invocation,Serverless Traced Invocations,serverless_traced_invocation,Serverless Traced Invocations,Committed Serverless APM,Committed Serverless APM|On-Demand Serverless APM,Serverless APM,Serverless APM,Serverless APM,serverless,Serverless,serverless,Serverless,Serverless,APM,Serverless Monitoring,Infrastructure,serverless,apm,Invoicing - APM,Serverless,Infrastructure
SERVERLESS-INFRA,serverless_infra,serverless_infra,active function,Serverless Workload Functions,serverless_workload_function,Serverless Workload Functions,Committed Serverless Workloads (Functions),Committed Serverless Workloads (Functions),Serverless Workloads (Functions),Serverless Workloads (Functions),Serverless Workload Monitoring,serverless,Serverless,serverless,Serverless,Serverless,Infrastructure,Serverless Monitoring,Infrastructure,serverless,infrastructure,Invoicing - Monitoring,Serverless,Infrastructure
SEC-MONT,siem,siem,analyzed log,SIEM - Analyzed Logs,siem_analyzed_logs,SIEM - Analyzed Logs,Committed Cloud SIEM,Committed Cloud SIEM,Legacy - Cloud SIEM,Cloud SIEM,Cloud SIEM,cloud_siem,Cloud SIEM,security,Security,Cloud SIEM,Security,Cloud SIEM,Security,security monitoring,security,Invoicing - Security,SIEM,SIEM
SIEM-ADD-ON,siem_analyzed_logs_add_on,siem_analyzed_logs_add_on,analyzed log,Cloud SIEM - Analyzed Logs (Add-On),siem_analyzed_logs_add_on,Cloud SIEM - Analyzed Logs (Add-On),,,Cloud SIEM - Flex Logs Add On (Bundle of 1M),Cloud SIEM - Flex Logs Add On,,cloud_siem,Cloud SIEM,security,Security,Cloud SIEM,Security,,,,,,,
SM,standard_timeseries,standard_timeseries,,,standard_timeseries,unconfigured,Committed Standard Metrics,Committed Standard Metrics,Standard Metrics,Standard Metrics,,unconfigured,unconfigured,,Custom Metrics,Infrastructure,Infrastructure,,,infrastructure,infrastructure,Invoicing - Monitoring,Standard Metrics,Infrastructure
SYNTHETICS-10K,synthetics_api_tests,synthetics_api_tests,test run,Synthetics API Test Runs,synthetics_api_test_runs,Synthetics API Test Runs,Committed Synthetics - API Tests (Bundle of 10K),Committed Synthetics - API Tests (Bundle of 10K),Synthetics - API Tests (Bundle of 10K),API Tests,API Testing,synthetics,Synthetics,synthetics,Synthetics,Synthetics,APM,Continuous Testing,Software Delivery,synthetics,apm,Invoicing - Synthetics,Synthetics,Synthetics
SYNTHETICS-1M,synthetics_api_tests,synthetics_api_tests,test run,Synthetics API Test Runs,synthetics_api_test_runs,Synthetics API Test Runs,,,Synthetics - API Tests (Bundle of 1M),API Tests,,synthetics,Synthetics,synthetics,Synthetics,,,,,,,,Synthetics,Synthetics
SYNTHETICS-1K,synthetics_browser_checks,synthetics_browser_checks,test run,Synthetics Browser Test Runs,synthetics_browser_test_runs,Synthetics Browser Test Runs,Committed Synthetics - Browser Tests (Bundle of 1K),Committed Synthetics - Browser Tests (Bundle of 1K),Synthetics - Browser Tests (Bundle of 1K),Browser Tests,Browser Testing,synthetics,Synthetics,synthetics,Synthetics,Synthetics,APM,Continuous Testing,Software Delivery,synthetics,apm,Invoicing - Synthetics,Synthetics,Synthetics
CI-MOBILE-APP-TEST,synthetics_mobile_app_testing,synthetics_mobile_app_testing,test run,Synthetics Mobile App Test Runs,synthetics_mobile_app_test_runs,Synthetics Mobile App Test Runs,,On-Demand Mobile App Testing and Monitoring (bundle of 100)|Committed Mobile App Testing and Monitoring (bundle of 100),Mobile App Testing and Monitoring (bundle of 100),Mobile App Testing and Monitoring,Mobile App Testing,synthetics,Synthetics,synthetics,Synthetics,Synthetics,APM,Mobile App Testing,Digital Experience,synthetics,synthetics,Invoicing - Synthetics,Synthetics,Synthetics
TES-VIS,ci_testing,ci_testing,committer,Test Visibility Committers,test_visibility_committers,Test Visibility Committers,Committed Testing Visibility,Committed Testing Visibility,Testing Visibility,Testing Visibility,,software_delivery,Software Delivery,software-delivery,CI Visibility,CI Visibility,CI Visibility,,,ci visibility,ci visibility,Invoicing - CI Visibility,CI,CI
TEST-SPA-VIS,ci_test_indexed_spans,ci_test_indexed_spans,span,Test Visibility Spans,test_visibility_spans,Test Visibility Spans,Committed CI Indexed Spans for Testing Visibility- 30 Days (Bundle of 1M),Committed CI Indexed Spans for Testing Visibility- 30 Days (Bundle of 1M),CI Indexed Spans for Testing Visibility- 30 Days (Bundle of 1M),CI Indexed Spans for Testing Visibility - 30 Days,Test Spans,software_delivery,Software Delivery,software-delivery,CI Visibility,CI Visibility,CI Visibility,CI Visibility,Software Delivery,ci visibility,ci visibility,Invoicing - CI Visibility,CI,CI
USM-ONLY-NO-CHARGE,usm_only_no_charge,usm_only_no_charge,USM host,USM Hosts,usm_host,USM Hosts,,,,,,usm,USM,apm,,,,,,,,,,
USM-STANDALONE,usm_standalone,usm_standalone,USM host,USM Hosts,usm_host,USM Hosts,Committed USM Hosts (Standalone),On-Demand USM Hosts|Committed USM Hosts (Standalone),USM Standalone,USM Standalone,,usm,USM,apm,APM,APM,APM,,,apm,apm,Invoicing - Monitoring,USM,USM
USM-WITHIN-INFRA-HOST,usm_within_infra_host,usm_within_infra_host,USM within Infra host,USM on Infra Hosts,usm_within_infra_host,USM on Infra Hosts,Committed USM Hosts,On-Demand USM Host|Committed USM Hosts,USM Hosts,USM Hosts,Universal Service Monitoring,usm,USM,apm,Infrastructure,Infrastructure,Infrastructure,Universal Service Monitoring,Applications,infrastructure,infrastructure,Invoicing - Monitoring,USM,USM
WORKFLOW-WORKFLOW,workflow_execution,workflow_execution,execution,Workflow Executions,workflow_execution,Workflow Executions,Committed Workflow Automation,Committed Workflow Automation|On-Demand Workflow Automation,Workflow Automation (bundle of 100),Workflow Automation,Workflow Automation,workflows,Workflows,apps,Security,Workflows,Workflows,Workflow Automation,Platform Capabilities,workflows,workflows,Invoicing - Workflows,Workflows,Workflows
