product_code,default_billing_dimension,billing_dimensions,usage_unit,usage_page_name,dimension,dimension_name,netsuite_name,revenue_accounting_name,salesforce_name,salesforce_display_name,website_name,datadog_product,product_name,usage_page_category,salesforce_family,salesforce_product_category,salesforce_product_family,website_product_category,website_product_nav_category,rda_product_category,rda_product_family,revenue_accounting_category,fpa_product_family,fpa_public_reporting_group
ERR-TRACKING,error_tracking,error_tracking,error event,Error Tracking,error_tracking,Error Tracking Events,Committed Error Tracking (bundle of 1k),Committed Error Tracking (bundle of 1k),Error Tracking (bundle of 1k),Error Tracking,Error Tracking,error_tracking,Error Tracking,error-tracking,Error Tracking,Error Tracking,Error Tracking,Application Performance Monitoring,Digital Experience,error tracking,error tracking,Invoicing - APM,Error Tracking,Error Tracking
EVT-MGT-CORRELATION,event_management_correlation,event_management_correlation,,,event_management_correlation,unconfigured,,,,,Event Management,unconfigured,unconfigured,,,,,Event Management,Service Management,,,,,
FARGATE-PRO,fargate_container,fargate_container,fargate task,Fargate Tasks,fargate_task,Fargate Tasks,Committed Fargate Tasks (Infrastructure),Committed Fargate Tasks (Infrastructure),Fargate Tasks (Infra),Fargate Tasks (Infra),Fargate (Infra),infrastructure,Infrastructure,serverless,Fargate Tasks,Infrastructure,Infrastructure,Infrastructure,Infrastructure,infrastructure,infrastructure,Invoicing - Monitoring,Other Infra,Infrastructure
FLEX-COMPUTE-LOGS,flex_compute_logs,flex_compute_logs,instance,Flex Logs Compute Instances,flex_compute_logs,Flex Logs Compute Instances,,Committed Flex Logs Compute,Flex Logs Compute,Flex Logs Compute,,flex_logs,Flex Logs,log-management,Logs,Logs,Logs,,,logs,logs,Invoicing - Logs,Flex Logs,Logs
FLEX-COMPUTE-LOGS-XS,flex_compute_logs_extra_small,flex_compute_logs_extra_small,instance,Flex Logs Compute Extra Small Instances,flex_compute_logs_extra_small,Flex Logs Compute Extra Small Instances,,Committed Flex Logs Compute (Extra Small),Flex Logs Compute (Extra Small),Flex Logs Compute (Extra Small),,flex_logs,Flex Logs,log-management,Logs,Logs,Logs,,,logs,logs,Invoicing - Logs,Flex Logs,Logs
FLEX-COMPUTE-LOGS-L,flex_compute_logs_large,flex_compute_logs_large,instance,Flex Logs Compute Large Instances,flex_compute_logs_large,Flex Logs Compute Large Instances,,,Flex Logs Compute (Large),Flex Logs Compute (Large),,flex_logs,Flex Logs,log-management,Logs,Logs,Logs,,,,,,,
FLEX-COMPUTE-LOGS-M,flex_compute_logs_medium,flex_compute_logs_medium,instance,Flex Logs Compute Medium Instances,flex_compute_logs_medium,Flex Logs Compute Medium Instances,,,Flex Logs Compute (Medium),Flex Logs Compute (Medium),,flex_logs,Flex Logs,log-management,Logs,Logs,Logs,,,logs,logs,,Flex Logs,Logs
FLEX-COMPUTE-LOGS-S,flex_compute_logs_small,flex_compute_logs_small,instance,Flex Logs Compute Small Instances,flex_compute_logs_small,Flex Logs Compute Small Instances,,,Flex Logs Compute (Small),Flex Logs Compute (Small),,flex_logs,Flex Logs,log-management,Logs,Logs,Logs,,,logs,logs,,Flex Logs,Logs
FLEX-LOGS-STARTER,flex_logs_starter,flex_logs_starter,log,Starter Flex Logs Stored,flex_logs_starter,Starter Flex Logs Stored,Committed Flex Logs Starter (Bundle of 1M),Committed Flex Logs Starter (Bundle of 1M),Flex Logs Starter (Bundle of 1M),Flex Logs Starter,,flex_logs,Flex Logs,log-management,Logs,Logs,Logs,,,logs,logs,Invoicing - Logs,Flex Logs,Logs
FLEX-STORED-LOGS,flex_stored_logs,flex_stored_logs,log,Flex Logs Stored,flex_stored_logs,Flex Logs Stored,,Committed Flex Logs Storage (Bundle of 1M),Flex Logs Storage (Bundle of 1M),Flex Logs Storage,,flex_logs,Flex Logs,log-management,Logs,Logs,Logs,,,logs,logs,Invoicing - Logs,Flex Logs,Logs
INCI,incident_management,incident_management,unique active user,Incident Management,incident_management,Incident Management,Committed Incident Management Users,Committed Incident Management Users,Incident Management,Incident Management,Incident Management,incident_management,Incident Management,incident-management,Incident Management,Incident Management,Incident Management,Incident Management,Service Management,incident management,incident management,Invoicing - Incident Management,IM,IM
TRACE-150K,apm_trace_search,apm_trace_search,indexed span,Indexed Spans,indexed_spans,Indexed Spans,,,Indexed Spans - 15 Days (Bundle of 150K),Indexed Spans (15 Day Retention Period),,apm,APM,apm,APM,APM,APM,,,,,,Indexed Spans,APM
TRACE-15DAY,apm_trace_search,apm_trace_search,indexed span,Indexed Spans,indexed_spans,Indexed Spans,Committed Indexed Spans - 15 Days (Bundle of 1M),Committed Indexed Spans - 15 Days (Bundle of 1M),Indexed Spans - 15 Days (Bundle of 1M),Indexed Spans (15 Day Retention Period),APM - Indexed Spans (15-day retention),apm,APM,apm,APM,APM,APM,Application Performance Monitoring,Applications,apm,apm,Invoicing - APM,Indexed Spans,APM
TRACE-180DAY,apm_trace_search,apm_trace_search,indexed span,Indexed Spans,indexed_spans,Indexed Spans,Committed Indexed Spans,,Indexed Spans - 180 Days (Bundle of 1M),Indexed Spans (180 Day Retention Period),,apm,APM,apm,APM,APM,APM,,,,,,Indexed Spans,APM
TRACE-30DAY,apm_trace_search,apm_trace_search,indexed span,Indexed Spans,indexed_spans,Indexed Spans,Committed Indexed Spans,,Indexed Spans - 30 Days (Bundle of 1M),Indexed Spans (30 Day Retention Period),APM - Indexed Spans (30-day retention),apm,APM,apm,APM,APM,APM,Application Performance Monitoring,Applications,,,,Indexed Spans,APM
TRACE-360DAY,apm_trace_search,apm_trace_search,indexed span,Indexed Spans,indexed_spans,Indexed Spans,Committed Indexed Spans,,Custom - Indexed Spans - 360 Days (Bundle of 1M),Index Spans (360 Day Retention Period),,apm,APM,apm,APM,APM,APM,,,,,,Indexed Spans,APM
TRACE-3DAY,apm_trace_search,apm_trace_search,indexed span,Indexed Spans,indexed_spans,Indexed Spans,Committed Indexed Spans,,Indexed Spans - 3 Days (Bundle of 1M),Indexed Spans (3 Day Retention Period),,apm,APM,apm,APM,APM,APM,,,,,,Indexed Spans,APM
TRACE-45DAY,apm_trace_search,apm_trace_search,indexed span,Indexed Spans,indexed_spans,Indexed Spans,Committed Indexed Spans,,Indexed Spans - 45 Days (Bundle of 1M),Indexed Spans (45 Day Retention Period),,apm,APM,apm,APM,APM,APM,,,,,,Indexed Spans,APM
