private_dns_name,service_name,tags
olive.intake.ap2.datadoghq.com,com.amazonaws.vpce.ap-southeast-2.vpce-svc-06d73ff413f53118b,map[account:prod-ap2-solid-transit aws_account:619071322193 aws_account_alias:dd-prod-ap2-solid-transit datacenter:ap2.prod.dog dd-frontend-service:evp_networkdevices dd-pool-service:unassigned load-balancer/color:olive load-balancer/customer-facing:true load-balancer/gateways-frontend:evp_networkdevices load-balancer/gateways-pool:unassigned load-balancer/lifecycle:live name: region:ap-southeast-2 team:fabric-edge-ingress terraform:true terraform.managed:true terraform.module:terraform-registry.us1.ddbuild.io/cloud-inventory/aws-network-vpc-endpoint-service/aws terraform.module_version:1.0.2]
violet.intake.ap2.datadoghq.com,com.amazonaws.vpce.ap-southeast-2.vpce-svc-01f8f80f4cb97bd10,map[account:prod-ap2-solid-transit aws_account:619071322193 aws_account_alias:dd-prod-ap2-solid-transit datacenter:ap2.prod.dog dd-frontend-service:fleet_edge dd-pool-service:edge-pool0 load-balancer/color:violet load-balancer/customer-facing:true load-balancer/gateways-frontend:fleet_edge load-balancer/gateways-pool:edge-pool0 load-balancer/lifecycle:live name: region:ap-southeast-2 team:fabric-edge-ingress terraform:true terraform.managed:true terraform.module:terraform-registry.us1.ddbuild.io/cloud-inventory/aws-network-vpc-endpoint-service/aws terraform.module_version:1.0.2]
plum.intake.ap2.datadoghq.com,com.amazonaws.vpce.ap-southeast-2.vpce-svc-028e4348e80fa73f5,map[account:prod-ap2-solid-transit aws_account:619071322193 aws_account_alias:dd-prod-ap2-solid-transit datacenter:ap2.prod.dog dd-frontend-service:evp_srcmap dd-pool-service:edge-pool1 load-balancer/color:plum load-balancer/customer-facing:true load-balancer/gateways-frontend:evp_srcmap load-balancer/gateways-pool:edge-pool1 load-balancer/lifecycle:live name: region:ap-southeast-2 team:fabric-edge-ingress terraform:true terraform.managed:true terraform.module:terraform-registry.us1.ddbuild.io/cloud-inventory/aws-network-vpc-endpoint-service/aws terraform.module_version:1.0.2]
white.intake.ap2.datadoghq.com,com.amazonaws.vpce.ap-southeast-2.vpce-svc-094469ee7a178f448,map[account:prod-ap2-solid-transit aws_account:619071322193 aws_account_alias:dd-prod-ap2-solid-transit datacenter:ap2.prod.dog dd-frontend-service:dbm_metrics dd-pool-service:edge-pool0 load-balancer/color:white load-balancer/customer-facing:true load-balancer/gateways-frontend:dbm_metrics load-balancer/gateways-pool:edge-pool0 load-balancer/lifecycle:live name: region:ap-southeast-2 team:fabric-edge-ingress terraform:true terraform.managed:true terraform.module:terraform-registry.us1.ddbuild.io/cloud-inventory/aws-network-vpc-endpoint-service/aws terraform.module_version:1.0.2]
maroon.intake.ap2.datadoghq.com,com.amazonaws.vpce.ap-southeast-2.vpce-svc-0fc2ab3a06dda724c,map[account:prod-ap2-solid-transit aws_account:619071322193 aws_account_alias:dd-prod-ap2-solid-transit datacenter:ap2.prod.dog dd-frontend-service:webhooks dd-pool-service:unassigned load-balancer/color:maroon load-balancer/customer-facing:true load-balancer/gateways-frontend:webhooks load-balancer/gateways-pool:unassigned load-balancer/lifecycle:live name: region:ap-southeast-2 team:fabric-edge-ingress terraform:true terraform.managed:true terraform.module:terraform-registry.us1.ddbuild.io/cloud-inventory/aws-network-vpc-endpoint-service/aws terraform.module_version:1.0.2]
orchid.intake.ap2.datadoghq.com,com.amazonaws.vpce.ap-southeast-2.vpce-svc-06ec78b291ce8020a,map[account:prod-ap2-solid-transit aws_account:619071322193 aws_account_alias:dd-prod-ap2-solid-transit datacenter:ap2.prod.dog dd-frontend-service:api dd-pool-service:edge-pool2 load-balancer/color:orchid load-balancer/customer-facing:true load-balancer/gateways-frontend:api load-balancer/gateways-pool:edge-pool2 load-balancer/lifecycle:live name: region:ap-southeast-2 team:fabric-edge-ingress terraform:true terraform.managed:true terraform.module:terraform-registry.us1.ddbuild.io/cloud-inventory/aws-network-vpc-endpoint-service/aws terraform.module_version:1.0.2]
azure.intake.ap2.datadoghq.com,com.amazonaws.vpce.ap-southeast-2.vpce-svc-06c2c070ee14b129e,map[account:prod-ap2-solid-transit aws_account:619071322193 aws_account_alias:dd-prod-ap2-solid-transit datacenter:ap2.prod.dog dd-frontend-service:evp_webhooks dd-pool-service:unassigned load-balancer/color:azure load-balancer/customer-facing:true load-balancer/gateways-frontend:evp_webhooks load-balancer/gateways-pool:unassigned load-balancer/lifecycle:live name: region:ap-southeast-2 team:fabric-edge-ingress terraform:true terraform.managed:true terraform.module:terraform-registry.us1.ddbuild.io/cloud-inventory/aws-network-vpc-endpoint-service/aws terraform.module_version:1.0.2]
sienna.intake.ap2.datadoghq.com,com.amazonaws.vpce.ap-southeast-2.vpce-svc-08dd4ecf3a793a00c,map[account:prod-ap2-solid-transit aws_account:619071322193 aws_account_alias:dd-prod-ap2-solid-transit datacenter:ap2.prod.dog dd-frontend-service:evp_all_ddog dd-pool-service:edge-pool1 load-balancer/color:sienna load-balancer/customer-facing:false load-balancer/gateways-frontend:evp_all_ddog load-balancer/gateways-pool:edge-pool1 load-balancer/lifecycle:live name: region:ap-southeast-2 team:fabric-edge-ingress terraform:true terraform.managed:true terraform.module:terraform-registry.us1.ddbuild.io/cloud-inventory/aws-network-vpc-endpoint-service/aws terraform.module_version:1.0.2]
gold.intake.ap2.datadoghq.com,com.amazonaws.vpce.ap-southeast-2.vpce-svc-06460db30a7cfdace,map[account:prod-ap2-solid-transit aws_account:619071322193 aws_account_alias:dd-prod-ap2-solid-transit datacenter:ap2.prod.dog dd-frontend-service:evp_logs dd-pool-service:edge-pool1 load-balancer/color:gold load-balancer/customer-facing:true load-balancer/gateways-frontend:evp_logs load-balancer/gateways-pool:edge-pool1 load-balancer/lifecycle:live name: region:ap-southeast-2 team:fabric-edge-ingress terraform:true terraform.managed:true terraform.module:terraform-registry.us1.ddbuild.io/cloud-inventory/aws-network-vpc-endpoint-service/aws terraform.module_version:1.0.2]
coral.intake.ap2.datadoghq.com,com.amazonaws.vpce.ap-southeast-2.vpce-svc-045380d617704a02d,map[account:prod-ap2-solid-transit aws_account:619071322193 aws_account_alias:dd-prod-ap2-solid-transit datacenter:ap2.prod.dog dd-frontend-service:hamr_evp_all dd-pool-service:unassigned load-balancer/color:coral load-balancer/customer-facing:true load-balancer/gateways-frontend:hamr_evp_all load-balancer/gateways-pool:unassigned load-balancer/lifecycle:live name: region:ap-southeast-2 team:fabric-edge-ingress terraform:true terraform.managed:true terraform.module:terraform-registry.us1.ddbuild.io/cloud-inventory/aws-network-vpc-endpoint-service/aws terraform.module_version:1.0.2]
